   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 644,        103654,          103017,          72614,      9963,        1846,       3527,        206403,             632,          43532,    10049,       5452,      4208
 645,        103720,          103082,          73353,      9764,        1865,       3636,        207046,             633,          42416,    10068,       5470,      4176
 646,        104154,          103515,          74313,      9401,        1900,       3571,        207690,             640,          42624,    10103,       5501,      4072
 647,        104755,          104115,          74523,      9846,        1892,       3594,        208335,             636,          45180,    10107,       5488,      4120
 648,        105020,          104379,          73864,      9742,        1914,       3962,        208981,             639,          43918,    10137,       5504,      4134
 649,        105338,          104696,          75004,      9675,        1924,       3691,        209628,             641,          43901,    10150,       5513,      4059
 650,        105345,          104702,          85567,      9818,        1885,       4059,        210276,             645,          45848,    10178,       5540,      4268
 651,        105740,          105096,          77659,      9587,        1919,       3631,        210925,             647,          43801,    10196,       5521,      4059
 652,        106040,          105395,          74315,      9822,        1931,       3557,        211575,             643,          46643,    10200,       5520,      4055
 653,        106492,          105846,          74375,      9784,        1910,       3688,        212226,             646,          44473,    10222,       5546,      4069
 654,        106565,          105918,          84128,      9945,        1898,       3845,        212878,             645,          47216,    10230,       5547,      4230
 655,        106733,          106085,          77170,      9983,        1908,       3574,        213531,             651,          44093,    10244,       5568,      4349
 656,        107330,          106681,          74945,      9870,        1927,       3622,        214185,             652,          46326,    10272,       5578,      4482
 657,        107756,          107106,          76579,      9815,        1976,       3593,        214840,             643,          44944,    10299,       5580,      4205
 658,        108013,          107362,          85431,      9451,        1985,       3420,        215496,             648,          45650,    10325,       5591,      4109
 659,        108217,          107565,          83190,      9906,        1946,       3544,        216153,             648,          45383,    10356,       5597,      4201
 660,        108454,          107801,          76479,     10539,        1903,       3729,        216811,             649,          45685,    10348,       5617,      4210
 661,        108557,          107903,          76579,     10574,        1919,       4006,        217470,             648,          46270,    10363,       5630,      4228
 662,        108768,          108113,          79490,     10251,        1938,       3704,        218130,             650,          46181,    10388,       5631,      4198
 663,        109220,          108564,          77861,      9766,        1945,       4171,        218791,             655,          46286,    10388,       5624,      4273
 664,        109258,          108601,          77093,      9641,        1954,       3661,        219453,             657,          46150,    10423,       5632,      4236
 665,        109361,          108703,          77822,      9740,        1948,       3818,        220116,             658,          45922,    10439,       5637,      4331
 666,        109840,          109181,          87336,      9927,        1939,       3957,        220780,             657,          48594,    10461,       5673,      4640
 667,        109949,          109289,          78652,     10159,        1958,       3628,        221445,             654,          46626,    10477,       5682,      4405
 668,        110130,          109469,          81820,     10120,        1985,       3611,        222111,             660,          46802,    10506,       5698,      4224
