    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  244,         16725,           16492,          12021,      3128,         643,       1181,         29403,             237,           5846,     3101,       1706,      1529
  245,         16808,           16574,          11599,      2995,         643,       1142,         29646,             238,           5915,     3116,       1715,      1293
  246,         16825,           16590,          11858,      3057,         648,       1185,         29890,             240,           5588,     3123,       1720,      1367
  247,         16831,           16595,          11501,      3052,         649,       1112,         30135,             242,           5692,     3144,       1730,      1294
  248,         16947,           16710,          11921,      3220,         651,       1161,         30381,             241,           5711,     3155,       1735,      1394
  249,         17130,           16892,          12084,      2967,         661,       1136,         30628,             242,           6045,     3167,       1749,      1315
  250,         17284,           17045,          12747,      3262,         649,       1248,         30876,             246,           6127,     3194,       1754,      1325
  251,         17293,           17053,          12548,      3023,         666,       1181,         31125,             245,           5932,     3210,       1767,      1542
  252,         17484,           17243,          12142,      3071,         683,       1217,         31375,             245,           6304,     3218,       1773,      1274
  253,         17496,           17254,          11949,      3131,         675,       1415,         31626,             245,           6258,     3239,       1783,      1402
  254,         17626,           17383,          12787,      3185,         668,       1213,         31878,             250,           6076,     3252,       1794,      1295
  255,         17816,           17572,          12639,      3348,         674,       1260,         32131,             245,           6155,     3259,       1785,      1379
  256,         18030,           17785,          13453,      3169,         688,       1553,         32385,             246,           7891,     3268,       1798,      1324
  257,         18097,           17851,          12910,      3249,         678,       1275,         32640,             251,           6358,     3295,       1811,      1410
  258,         18322,           18075,          13773,      3311,         671,       1196,         32896,             253,           6650,     3303,       1821,      1360
  259,         18453,           18205,          12462,      3251,         678,       1838,         33153,             251,           6566,     3343,       1843,      1373
  260,         18483,           18234,          14926,      3205,         697,       1907,         33411,             255,           8401,     3360,       1857,      1529
  261,         18487,           18237,          12494,      3174,         696,       1182,         33670,             256,           6803,     3378,       1861,      1349
  262,         18607,           18356,          12694,      3341,         703,       1214,         33930,             257,           6490,     3382,       1862,      1389
